Posting_Name,Department,Application_Date_time,Referral_Source,Clean_Date,Clean_Time,Referral_Count
Music Full-time Faculty  Piano - Anticipated for Fall 2019,Music,"October 31, 2018 at 09:11 PM",BYU-Idaho Employment Website,October 31 2018,9:11 PM,1
Art Faculty (Painting ) - Anticipated for Fall 2019,Art,"October 31, 2018 at 09:28 PM",Referral by BYU-Idaho employee,October 31 2018,9:28 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"October 31, 2018 at 09:43 PM",BYU-Idaho Employment Website,October 31 2018,9:43 PM,1
Music Full-time Faculty  Piano - Anticipated for Fall 2019,Music,"October 31, 2018 at 09:46 PM",Other,October 31 2018,9:46 PM,1
Mathematics - Full-time Faculty - Math Education - Anticipated for Fall 2019,Mathematics,"October 31, 2018 at 09:53 PM",BYU-Idaho Employment Website,October 31 2018,9:53 PM,1
Teacher Education Full-time Faculty - Elementary Education - 2 Openings Anticipated for Fall 2019,Teacher Education,"October 31, 2018 at 09:55 PM",BYU-Idaho Employment Website,October 31 2018,9:55 PM,1
Teacher Education Full-time Faculty - Elementary Education - 2 Openings Anticipated for Fall 2019,Teacher Education,"October 31, 2018 at 09:56 PM",Referral by BYU-Idaho employee,October 31 2018,9:56 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"October 31, 2018 at 09:57 PM",BYU-Idaho Employment Website,October 31 2018,9:57 PM,1
English - Full-time Faculty - Anticipated 2 positions for Fall 2019,English,"October 31, 2018 at 10:04 PM",BYU-Idaho Employment Website,October 31 2018,10:04 PM,1
Art Full-time Faculty (Ceramics) - Anticipated for Fall 2019,Art,"October 31, 2018 at 10:08 PM",Referral by someone other than a BYU-Idaho employee,October 31 2018,10:08 PM,1
Art Faculty (Painting ) - Anticipated for Fall 2019,Art,"October 31, 2018 at 10:08 PM",Other,October 31 2018,10:08 PM,1
Art Faculty (Painting ) - Anticipated for Fall 2019,Art,"October 31, 2018 at 10:14 PM",Referral by someone other than a BYU-Idaho employee,October 31 2018,10:14 PM,1
Mathematics - Full-time Faculty - Math Education - Anticipated for Fall 2019,Mathematics,"October 31, 2018 at 10:19 PM",Referral by BYU-Idaho employee,October 31 2018,10:19 PM,1
Accounting Full-time Faculty - Anticipated for Fall 2019,Accounting,"October 31, 2018 at 10:19 PM",BYU-Idaho Employment Website,October 31 2018,10:19 PM,1
Marketing Full-time Faculty - Anticipated for Fall 2019,Marketing,"October 31, 2018 at 10:23 PM",Referral by BYU-Idaho employee,October 31 2018,10:23 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"October 31, 2018 at 10:25 PM",LinkedIn,October 31 2018,10:25 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"October 31, 2018 at 10:29 PM",Referral by someone other than a BYU-Idaho employee,October 31 2018,10:29 PM,1
Mathematics - Full-time Faculty - Mathematics Science - Anticipated for Fall 2019,Mathematics,"October 31, 2018 at 10:43 PM",BYU-Idaho Employment Website,October 31 2018,10:43 PM,1
Mathematics - Full-time Faculty - Mathematics Science - Anticipated for Fall 2019,Mathematics,"October 31, 2018 at 10:54 PM",Referral by BYU-Idaho employee,October 31 2018,10:54 PM,1
Music Full-time Faculty  Piano - Anticipated for Fall 2019,Music,"October 31, 2018 at 11:11 PM",Other,October 31 2018,11:11 PM,1
Music Full-time Faculty  Piano - Anticipated for Fall 2019,Music,"October 31, 2018 at 11:11 PM",Referral by BYU-Idaho employee,October 31 2018,11:11 PM,1
Academic Support Faculty  (Mathematics) - Anticipated for Fall 2019,Academic Support Centers,"October 31, 2018 at 11:36 PM",BYU-Idaho Employment Website,October 31 2018,11:36 PM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated 2 positions for Fall 2019,Mathematics,"October 31, 2018 at 11:38 PM",Referral by BYU-Idaho employee,October 31 2018,11:38 PM,1
Music Full-time Faculty  Piano - Anticipated for Fall 2019,Music,"October 31, 2018 at 11:45 PM",BYU-Idaho Employment Website,October 31 2018,11:45 PM,1
Teacher Education Full-time Faculty - Elementary Education - 2 Openings Anticipated for Fall 2019,Teacher Education,"October 31, 2018 at 11:50 PM",Referral by BYU-Idaho employee,October 31 2018,11:50 PM,1
Music Full-time Faculty - Music Education (Band Education) - Anticipated for Fall 2019,Music,"October 31, 2018 at 11:51 PM",Other,October 31 2018,11:51 PM,1
English - Full-time Faculty - Anticipated 2 positions for Fall 2019,English,"October 31, 2018 at 11:51 PM",Referral by someone other than a BYU-Idaho employee,October 31 2018,11:51 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"October 31, 2018 at 11:54 PM",BYU-Idaho Employment Website,October 31 2018,11:54 PM,1
Art Faculty (Painting ) - Anticipated for Fall 2019,Art,"October 31, 2018 at 11:56 PM",Referral by BYU-Idaho employee,October 31 2018,11:56 PM,1
Teacher Education Full-time Faculty - Elementary Education - 2 Openings Anticipated for Fall 2019,Teacher Education,"October 31, 2018 at 11:58 PM",Referral by BYU-Idaho employee,October 31 2018,11:58 PM,1
Mathematics - Full-time Faculty - Math Education - Anticipated for Fall 2019,Mathematics,"October 31, 2018 at 11:59 PM",BYU-Idaho Employment Website,October 31 2018,11:59 PM,1
Management - Full-time Faculty - Anticipated for Fall 2019,Management,"November 01, 2018 at 12:00 AM",BYU-Idaho Employment Website,November 01 2018,12:00 AM,1
Marketing Full-time Faculty - Anticipated for Fall 2019,Marketing,"November 01, 2018 at 11:46 AM",Referral by BYU-Idaho employee,November 01 2018,11:46 AM,1
Mathematics - Full-time Faculty - Data Science/Statistics  - Anticipated 2 positions for Fall 2019,Mathematics,"October 31, 2018 at 10:54 PM",Referral by BYU-Idaho employee,October 31 2018,10:54 PM,1
Mathematics - Full-time Faculty - Math Education - Anticipated for Fall 2019,Mathematics,"November 01, 2018 at 04:04 PM",Referral by someone other than a BYU-Idaho employee,November 01 2018,4:04 PM,1
Religious Education Full-time Faculty - Anticipated for Fall 2019,Religious Education,"November 01, 2018 at 07:16 PM",BYU-Idaho Employment Website,November 01 2018,7:16 PM,1
Religious Education Full-time Faculty - Anticipated for Fall 2019,Religious Education,"November 02, 2018 at 12:29 PM",BYU-Idaho Employment Website,November 02 2018,12:29 PM,1
Teacher Education Full-time Faculty - Elementary Education - 2 Openings Anticipated for Fall 2019,Teacher Education,"November 02, 2018 at 12:57 PM",BYU-Idaho Employment Website,November 02 2018,12:57 PM,1
