Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Software Engineer,0601820,Information Technology,0,Filled,"October 17, 2016 at 04:44 PM",7,2,General information available to applicants.,1.0,,"July 27, 2016 at 04:33 PM",23.08.2016,September 2016
Online Adjunct Faculty--FDAMF 101: American Foundations,0601824,Online Learning Administration,38,Invitation Only,"September 12, 2018 at 08:36 AM",151,66,,,No,"July 28, 2016 at 10:07 AM",07.09.2018,n/a
Contracting & Supplier Relationship Manager,0601838,Purchasing & Travel,0,Filled,"September 26, 2016 at 04:17 PM",20,6,General information available to applicants.,1.0,,"August 03, 2016 at 11:08 AM",07.09.2016,October 2016
Academic Communications Manager,0601844,University Relations,0,Filled,"October 18, 2016 at 02:01 PM",19,4,General information available to applicants.,1.0,,"August 03, 2016 at 01:05 PM",06.09.2016,October 2016
Career & Academic Advisor (2 openings; Part-time; Remote),0601840,Academic Discovery Center,0,Filled,"September 21, 2016 at 10:11 AM",44,12,General information available to applicants.,.5,,"August 03, 2016 at 03:01 PM",20.08.2016,October 2016
Testing Center Operations Specialist,0601841,Testing Center,0,Filled,"August 29, 2016 at 09:42 AM",12,4,General information available to applicants.,1.0,,"August 04, 2016 at 09:57 AM",18.08.2016,October 2016
Economics Full-time Faculty - Anticipated for Fall 2017,0601866,Economics,0,Closed,"November 27, 2016 at 12:00 AM",8,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"August 11, 2016 at 10:33 AM",26.11.2016,8/23/2017
Library Assistant,0601845,McKay Library,0,Filled,"October 21, 2016 at 08:50 AM",27,12,General information available upon applicant request,1.0,No,"August 16, 2016 at 10:31 AM",30.08.2016,September 2016
Plumber-Water Technician,0601861,Mechanical / Plumbing,0,Filled,"October 21, 2016 at 04:41 PM",4,1,Information available upon request,1.00,,"September 06, 2016 at 04:56 PM",25.09.2016,
Seasonal Snow Removal,0601863,Grounds,0,Filled,"November 08, 2016 at 10:55 AM",19,12,Available upon request,NA,No,"September 07, 2016 at 02:15 PM",27.09.2016,With first snowfall
Psychology Full-time Faculty - Anticipated for Fall 2017,0601865,Psychology,0,Filled,"May 05, 2017 at 08:18 AM",12,4,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 08, 2016 at 04:20 PM",30.11.2016,8/23/2017
Automotive Technology Full-time Faculty - Anticipated for Fall 2017,0601867,Automotive Technology,0,Filled,"May 17, 2017 at 12:03 PM",12,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 12, 2016 at 03:01 PM",03.12.2016,8/23/2017
Student Honor Administrator,0601872,Student Honor Office,0,Filled,"January 05, 2017 at 04:31 PM",46,8,General information available to applicants.,1.00,,"September 12, 2016 at 03:21 PM",26.10.2016,November 2016
Business Management Full-time Faculty (3 positions) - Anticipated for Fall 2017,0601868,Management,0,Filled,"June 15, 2017 at 03:11 PM",64,8,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 12, 2016 at 03:45 PM",30.11.2016,8/23/2017
Mechanical Engineering - Welding Full-time Faculty - Anticipated for Fall 2017,0601869,Mechanical and Civil Engineering,0,Filled,"May 17, 2017 at 12:04 PM",5,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 13, 2016 at 09:20 AM",26.11.2016,8/23/2017
Computer Science and Electrical Engineering Full-time Faculty (2 positions) - Anticipated for Fall 2017,0601870,Computer Science & Elec Engineering,0,Filled,"May 05, 2017 at 08:20 AM",10,1,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 13, 2016 at 09:50 AM",26.11.2016,8/23/2017
Computer Information Technology Full-time Faculty - Anticipated for Fall 2017,0601871,Computer Information Technology,0,Filled,"May 05, 2017 at 08:21 AM",9,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 13, 2016 at 03:15 PM",26.11.2016,8/23/2017
Office Assistant,0601874,Mechanical and Civil Engineering,0,Filled,"November 10, 2016 at 09:11 AM",23,9,Available upon request,0.96,,"September 14, 2016 at 09:34 AM",06.10.2016,
Mathematics Full-time Faculty (2 positions) - Anticipated for Fall 2017,0601873,Mathematics,0,Filled,"May 17, 2017 at 12:02 PM",23,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"September 14, 2016 at 12:50 PM",26.11.2016,8/23/2017
Pathway Office Assistant (20 hours),0601877,Pathway - International,0,Filled,"November 10, 2016 at 11:19 AM",33,18,General information available upon applicant request,0.5,,"September 16, 2016 at 02:01 PM",03.10.2016,
"Pathway Office Assistant (30 hours, benefited)",0601878,Pathway,0,Filled,"December 01, 2016 at 03:21 PM",50,9,Available upon request,.75,,"September 16, 2016 at 02:31 PM",05.10.2016,"November 1, 2016"
Floor Crew Lead,0601880,Custodial Services,0,Filled,"December 01, 2016 at 03:21 PM",12,8,General information available to applicants,1.0,,"October 04, 2016 at 01:28 PM",25.10.2016,November 2016
Pathway Curriculum Coordinator,0601882,Pathway,0,Filled,"December 14, 2016 at 03:04 PM",50,15,General information available to applicants.,1.00,,"October 10, 2016 at 04:29 PM",29.10.2016,December 2016 or January 2017
Business Intelligence Analyst,0601884,Information Technology,0,Filled,"December 20, 2016 at 04:46 PM",6,0,General information available to applicants.,1.00,,"October 13, 2016 at 02:06 PM",06.12.2016,December 2016 or January 2017
Mechanical Lab Technician,0601885,Mechanical and Civil Engineering,0,Filled,"December 20, 2016 at 04:47 PM",13,2,Available Upon Request,1,,"October 14, 2016 at 08:47 AM",01.11.2016,November 2016
Student Accounts Specialist,0601887,Bursars Office,0,Filled,"December 01, 2016 at 03:22 PM",26,8,General information available to applicants.,1.0,No,"October 17, 2016 at 03:35 PM",03.11.2016,December 2016 or January 2017
Family and Consumer Sciences Full-time Faculty - Anticipated for Fall 2017,0601889,Home & Family,0,Filled,"May 17, 2017 at 12:00 PM",4,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"October 21, 2016 at 08:36 AM",07.01.2017,8/23/2017
Travel Administrator,0601894,Accounting Services,0,Filled,"November 23, 2016 at 02:42 PM",32,9,General information available to applicants.,1.0,,"October 24, 2016 at 01:29 PM",09.11.2016,December 2016 or January 2017
BYU-Idaho Support Center Director,0601893,Student Well Being,0,Filled,"November 23, 2016 at 02:17 PM",15,1,General information available to applicants.,1.0,,"October 24, 2016 at 04:01 PM",08.11.2016,December 2016 or January 2017
Financial Aid Advisor (3 openings),0601895,Student Financial Aid ,0,Filled,"December 21, 2016 at 03:56 PM",32,8,General information available upon request,1,,"October 25, 2016 at 03:53 PM",07.11.2016,December 2016
Data Specialist,0601896,Pathway,0,Filled,"February 13, 2017 at 01:08 PM",19,0,General information available upon request.,1.00,,"November 09, 2016 at 02:27 PM",07.12.2016,January 2017
Information Technology Business Officer,0601897,Information Technology,0,Filled,"December 20, 2016 at 03:13 PM",6,2,General information available to applicants.,1.00,,"November 10, 2016 at 11:20 AM",01.12.2016,January 2017
Building Custodian,0601905,Custodial Services,0,Filled,"December 28, 2016 at 11:01 AM",23,4,General information available to applicants.,.75,Yes,"November 30, 2016 at 01:05 PM",20.12.2016,
Public Health Full-time Faculty Member - Anticipated for Fall 2017,0601902,Human Performance & Recreation,0,Filled,"May 17, 2017 at 11:56 AM",11,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"November 30, 2016 at 02:08 PM",21.01.2017,8/23/2017
"BYU-Idaho Education Week Student Coordinator (Temporary, Part-Time)",0601903,University Services,0,Filled,"February 14, 2017 at 01:14 PM",1,1,General information available to applicants.,,,"December 01, 2016 at 03:29 PM",31.12.2016,"May 1, 2017"
Office Assistant (Strategy and Research),0601906,"Institutional Research
",0,Filled,"January 11, 2017 at 10:47 AM",21,7,General information available upon request.,1,,"December 02, 2016 at 11:08 AM",21.12.2016,January 2017
Hiring Coordinator,0601918,Online Employment & Scheduling,0,Filled,"March 16, 2017 at 04:35 PM",29,2,General information available to applicants.,1.0,No,"December 07, 2016 at 03:12 PM",21.01.2017,March 2017
General Merchandise Buyer,0601910,University Store,0,Filled,"January 27, 2017 at 01:22 PM",28,8,Available upon request,1.00,,"December 14, 2016 at 10:08 AM",18.01.2017,February 2017
Economics Full-time Faculty - Anticipated for Fall 2017,0601907,Economics,0,Filled,"June 14, 2017 at 03:41 PM",11,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"December 15, 2016 at 02:04 PM",11.02.2017,8/23/2017
Office Assistant,0601913,Human Performance & Recreation,0,Filled,"January 31, 2017 at 03:16 PM",30,5,General information available to applicants.,1.00,,"December 21, 2016 at 09:28 AM",14.01.2017,February 2017
MarComm UX Design Coordinator,0601920,University Relations,0,Filled,"March 20, 2017 at 04:57 PM",8,1,General information available to applicants.,1.00,,"December 27, 2016 at 03:54 PM",23.02.2017,March 2017
Pathway Support Center Specialist,0601922,Pathway,0,Filled,"March 07, 2017 at 11:21 AM",36,8,General information available to applicants.,1.00,,"January 05, 2017 at 08:57 AM",19.01.2017,March 2017
Career & Academic Advising Director,0601932,Executive Office,0,Filled,"February 14, 2017 at 12:57 PM",9,1,General information available to applicants.,1.0,,"January 18, 2017 at 09:12 AM",28.01.2017,February 2017
Online Curriculum Designer (3 Openings),0601933,Curriculum Development,0,Filled,"March 17, 2017 at 01:41 PM",42,6,General information available to applicants.,1.0,No,"January 20, 2017 at 05:59 PM",13.02.2017,April 2017
Online Programs Office Assistant,0601934,Online Programs,0,Filled,"March 31, 2017 at 11:22 AM",20,8,General information available to applicants.,.83,,"January 27, 2017 at 04:48 PM",11.02.2017,
On-Campus Adjunct Faculty - Spanish,0601936,Languages & International Studies,0,Filled,"November 13, 2017 at 01:31 PM",5,4,Dependent on education and experience.,,Yes,"February 03, 2017 at 09:04 AM",17.03.2017,9/05/2017
Online Data Scientist,0601949,Course Improvement,0,Closed,"June 19, 2019 at 04:29 PM",17,2,General information available to applicants.,1.0,,"February 09, 2017 at 12:09 PM",10.03.2017,
Online Learning Researcher,0601950,Course Improvement,0,Filled,"June 07, 2017 at 04:53 PM",16,9,General information available to applicants.,1.0,,"February 09, 2017 at 03:39 PM",10.03.2017,
Career & Academic Advisor,0601954,Academic Discovery Center,0,Filled,"April 24, 2017 at 03:18 PM",74,17,General information available to applicants.,1.0,,"February 10, 2017 at 11:46 AM",10.03.2017,April 2017
Lab Manager,0601953,Animal & Food Sciences,0,Filled,"May 16, 2017 at 01:22 PM",10,3,General information available to applicants.,1.0,,"February 13, 2017 at 02:52 PM",31.03.2017,
Mac Lab Library Assistant,0601951,McKay Library,0,Filled,"March 31, 2017 at 12:51 PM",10,1,General information available to applicants.,.92,,"February 13, 2017 at 03:57 PM",04.03.2017,
Identity Architect,0601952,Information Technology,0,Filled,"March 27, 2017 at 03:47 PM",6,1,General information available to applicants.,1.00,,"February 16, 2017 at 09:38 AM",08.03.2017,
Payroll Earning Specialist,0601955,Accounting Services,0,Filled,"April 05, 2017 at 08:11 AM",17,4,General information available to applicants.,1.0,,"February 24, 2017 at 09:51 AM",13.03.2017,
Mechanical Engineering Visiting Faculty - Anticipated for Winter 2018,0601956,Mechanical and Civil Engineering,3,Closed,"April 30, 2017 at 12:00 AM",7,3,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"February 28, 2017 at 11:03 AM",29.04.2017,1/2/2018
(On-Campus) Clinical and Simulations Instructor - Nursing (Interest Application),0601957,Nursing,22,Closed,"October 01, 2018 at 12:00 AM",55,6,Dependent on education and experience.,,No,"March 01, 2017 at 09:19 AM",30.09.2018,
Marketing Coordinator,0601958,Student Life Communications,0,Filled,"May 16, 2017 at 01:20 PM",33,8,General information available upon request.,1.00,,"March 01, 2017 at 11:50 AM",22.03.2017,May 2017
University Public Safety Director,0601960,University Operations,0,Filled,"April 19, 2017 at 11:31 AM",21,6,General information available to applicants.,1.00,,"March 03, 2017 at 10:00 AM",21.03.2017,
Project Manager,0601963,Information Technology,0,Filled,"June 16, 2017 at 10:02 AM",18,5,General information available to applicants.,1.00,,"March 03, 2017 at 10:45 AM",12.04.2017,May 2017
OLC Facilities & Maintenance Specialist,0601962,Student Activities,0,Filled,"April 24, 2017 at 04:46 PM",20,4,General information available to applicants.,1.00,,"March 03, 2017 at 11:53 AM",24.03.2017,
History Visiting Faculty - Anticipated for Winter 2018,0601959,History/Geography/Poli Science,2,Closed,"April 30, 2017 at 12:00 AM",20,5,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"March 06, 2017 at 12:23 PM",29.04.2017,1/2/2018
Computer Science & Electrical Engineering Visiting Faculty - Anticipated for Winter 2018,0601964,Computer Science & Elec Engineering,0,Closed,"May 14, 2017 at 12:00 AM",1,0,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"March 15, 2017 at 03:27 PM",13.05.2017,1/2/2018
Financial Aid Coordinator (4 Openings),0601978,Student Financial Aid ,0,Filled,"June 15, 2017 at 03:13 PM",75,16,General information available to applicants.,1.0,,"March 16, 2017 at 04:46 PM",02.05.2017,
University Village Manager,0601965,Housing & Student Living,0,Filled,"April 06, 2017 at 04:08 PM",12,2,General information available to applicants.,.65,,"March 17, 2017 at 10:00 AM",01.04.2017,April 2017
Office Assistant,0601966,Admissions,0,Filled,"April 24, 2017 at 03:04 PM",23,11,General information available to applicants.,1.0,,"March 17, 2017 at 10:20 AM",29.03.2017,May 2017
Course Support Manager,0601967,Online Technical Operations,0,Filled,"June 08, 2017 at 02:52 PM",18,2,General information available to applicants.,1.0,,"March 20, 2017 at 02:52 PM",06.04.2017,
Compliance Officer,0601968,Financial Services,0,Filled,"June 02, 2017 at 05:58 PM",43,13,General information available to applicants.,1.00,,"March 21, 2017 at 11:10 AM",13.04.2017,May 2017
Office Assistant,0601973,Design and Construction Management,0,Filled,"May 02, 2017 at 09:18 AM",15,3,General information available to applicants.,.83,,"March 21, 2017 at 12:45 PM",10.04.2017,
Hiring Specialist,0601969,Online Employment & Scheduling,0,Filled,"May 26, 2017 at 04:52 PM",23,8,General information available to applicants.,1.00,,"March 22, 2017 at 09:39 AM",05.04.2017,May 2017
Contracting & Supplier Relationship Manager,0601976,Purchasing & Travel,0,Filled,"June 22, 2017 at 09:12 AM",22,8,General information available to applicants.,1.0,,"March 31, 2017 at 01:48 PM",13.05.2017,July 2017
Application Systems Engineer,0601977,Information Technology,0,Filled,"May 15, 2017 at 11:04 AM",6,1,General information available to applicants.,1.0,Yes,"March 31, 2017 at 02:10 PM",22.04.2017,June 2017
Online Technologies Researcher,0601982,Online Technical Operations,0,Filled,"June 08, 2017 at 03:17 PM",8,2,General information available to applicants.,1.00,,"April 12, 2017 at 08:39 AM",05.05.2017,June 2017
Plumber/Pipefitter,0601983,Mechanical / Plumbing,0,Filled,"May 31, 2017 at 10:57 AM",8,1,General information available to applicants.,1,,"April 12, 2017 at 03:31 PM",09.05.2017,June 2017
"Custodial Supervisor (30 hours, full benefits)",0601984,Custodial Services,0,Filled,"June 05, 2017 at 03:11 PM",26,2,General information available to applicants.,.75,Yes,"April 13, 2017 at 10:53 AM",28.04.2017,June 2017
Admissions Coordinator,0601992,Admissions,0,Filled,"June 19, 2017 at 11:16 AM",42,9,General information available to applicants.,1.00,,"April 20, 2017 at 11:57 AM",08.05.2017,June 2017
Student Housing Manager,0601993,Housing & Student Living,0,Filled,"May 23, 2017 at 09:31 AM",22,7,General information available to applicants.,.70,,"April 21, 2017 at 10:52 AM",10.05.2017,June 2017
Full-time Faculty - Mathematics and Statistics,0601994,Mathematics,0,Closed,"July 15, 2017 at 12:03 AM",8,4,,1.0,Yes,"April 24, 2017 at 01:56 PM",14.07.2017,
Office Assistant,0601995,Management,0,Filled,"May 26, 2017 at 06:02 PM",13,5,General information available to applicants.,1.0,,"April 25, 2017 at 01:14 PM",05.05.2017,June 2017
Senior Software Engineer,0601996,Information Technology,0,Filled,"June 16, 2017 at 11:01 AM",10,0,General information available upon request,1.00,,"May 03, 2017 at 02:23 PM",22.05.2017,
Financial Aid & Scholarship Director,0601997,Student Services,0,Filled,"July 20, 2017 at 12:11 PM",20,3,General information available to applicants.,1.00,,"May 09, 2017 at 01:07 PM",03.06.2017,July or August 2017
Patrol Officer,0602000,University Security & Safety,0,Filled,"June 30, 2017 at 03:12 PM",24,3,General information available to applicants.,1.0,,"May 11, 2017 at 03:39 PM",26.05.2017,June/July 2017
Deputy Title IX Coordinator,0602001,Title IX,0,Filled,"July 28, 2017 at 07:19 AM",28,10,General information available to applicants.,1.00,,"May 19, 2017 at 10:59 AM",20.06.2017,August 2017
Data & Operations Specialist,0602004,Academic Discovery Center,0,Filled,"July 18, 2017 at 03:59 PM",8,3,General information available to applicants.,1.00,No,"May 24, 2017 at 02:31 PM",24.06.2017,
Communication Development Coordinator,0602007,University Relations,0,Filled,"August 24, 2017 at 02:37 PM",30,3,General information available to applicants.,1.0,,"May 26, 2017 at 09:32 AM",06.07.2017,
Office Assistant,0602002,Physical Science & Engineering,0,Filled,"July 18, 2017 at 09:54 AM",25,9,General information available to applicants,0.96,,"May 31, 2017 at 11:41 AM",16.06.2017,July 2017
Student Support Coordinator,0602005,Student Support,0,Filled,"July 20, 2017 at 04:20 PM",29,10,General information available upon request,1.0,,"June 13, 2017 at 12:47 PM",26.06.2017,
Maintenance Painter,0602011,Maintenance Shop,0,Filled,"July 19, 2017 at 11:07 AM",5,1,General information available to applicants.,1.00,,"June 14, 2017 at 04:00 PM",30.06.2017,
Access Control Technician,0602014,Maintenance Shop,0,Filled,"July 21, 2017 at 04:55 PM",7,2,General information available to applicants.,1.00,,"June 15, 2017 at 02:13 PM",30.06.2017,
Operations Manager,0602018,Student Records & Registration,0,Filled,"August 08, 2017 at 01:11 PM",14,4,General information available upon request,1.00,,"June 26, 2017 at 03:41 PM",08.07.2017,
Application Systems Engineer,0602019,Information Technology,0,Filled,"August 18, 2017 at 11:17 AM",19,6,General information available to applicants.,1.0,Yes,"June 29, 2017 at 10:11 AM",22.07.2017,August 2017
"Full-time Faculty - Communication, Video, and Film Production",0602020,Communication,0,Filled,"October 08, 2018 at 02:01 PM",14,7,Will be discussed during the formal interview process and is based on your education and experience.,1.0,Yes,"June 29, 2017 at 01:37 PM",29.08.2017,
Curriculum Designer,0602025,Curriculum Development,0,Filled,"October 10, 2017 at 02:53 PM",21,2,General information available to applicants.,1.0,No,"July 20, 2017 at 04:07 PM",19.08.2017,September 2017
Facilities Service Center Representative,0602026,University Operations,0,Filled,"September 08, 2017 at 10:58 AM",22,5,General information available to applicants.,1.00,,"July 27, 2017 at 03:03 PM",12.08.2017,September 2017
Religious Education Faculty - Anticipated for Fall 2018 (2 Openings),0602027,Religious Education,0,Filled,"March 22, 2018 at 05:00 PM",55,11,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"July 31, 2017 at 07:43 PM",10.10.2017,Tentatively 8/22/2018; hires from S&I may begin earlier
Chemistry Faculty - Anticipated for Fall 2018,0602028,Chemistry,0,Filled,"March 23, 2018 at 03:35 PM",19,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 03:37 PM",10.10.2017,Tentatively 8/22/2018
Sociology Faculty - Anticipated for Fall 2018,0602029,Sociology and Social Work,0,Filled,"March 23, 2018 at 02:45 PM",17,3,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 03:38 PM",10.10.2017,Tentatively 8/22/2018
Computer Science Faculty - Anticipated for Fall 2018,0602030,Computer Science & Elec Engineering,0,Filled,"May 17, 2018 at 11:28 AM",10,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 03:48 PM",10.10.2017,Tentatively 8/22/2018
Business Management Faculty - General Management - Anticipated for Fall 2018 (2 Openings),0602032,Management,0,Filled,"May 17, 2018 at 11:20 AM",70,17,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 04:15 PM",18.10.2017,Tentatively 8/22/2018
CIT Faculty - Information Security & Operating Systems - Anticipated for Fall 2018,0602033,Computer Information Technology,0,Filled,"March 23, 2018 at 04:16 PM",11,3,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 10:11 PM",10.10.2017,Tentatively 8/22/2018
CIT Faculty - Database Programming - Anticipated for Fall 2018,0602034,Computer Information Technology,0,Filled,"October 08, 2018 at 02:05 PM",7,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 10:21 PM",28.10.2017,Tentatively 8/22/2018
Music Faculty - Bassoon - Anticipated for Fall 2018,0602035,Music,0,Filled,"March 23, 2018 at 03:54 PM",6,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 01, 2017 at 10:37 PM",30.10.2017,Tentatively 8/22/2018
English Faculty - Anticipated for Fall 2018 (4 Openings),0602036,English,0,Filled,"May 17, 2018 at 11:54 AM",65,18,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 02, 2017 at 11:20 AM",10.10.2017,Tentatively 8/22/2018
Mathematics Faculty - Anticipated for Fall 2018 (2 Openings),0602037,Mathematics,0,Filled,"March 23, 2018 at 03:53 PM",18,7,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 02, 2017 at 11:31 AM",10.10.2017,Tentatively 8/22/2018
Art Faculty - Graphic Design - Anticipated for Fall 2018,0602039,Art,0,Filled,"March 23, 2018 at 03:49 PM",15,7,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"August 02, 2017 at 01:45 PM",10.10.2017,Tentatively 8/22/2018
Human Resources Specialist (2 Positions),0602040,Human Resources,0,Filled,"November 04, 2017 at 10:49 AM",80,7,General information available to applicants.,1.00,,"August 07, 2017 at 09:57 AM",28.08.2017,September or October 2017
Degree Audit Coordinator,0602041,Student Records & Registration,0,Filled,"September 28, 2017 at 12:05 PM",10,0,General information available to applicants.,1.00,,"August 11, 2017 at 04:13 PM",22.08.2017,September or October 2017
Custodial Supervisor,0602042,Custodial Services,0,Filled,"October 04, 2017 at 04:15 PM",19,9,General information available to applicants.,1.00,No,"August 15, 2017 at 04:12 PM",31.08.2017,September 2017
Mentor Manager,0602044,Pathway,0,Filled,"November 07, 2017 at 04:12 PM",83,26,General information available to applicants.,1.00,,"August 18, 2017 at 09:31 AM",11.09.2017,October 2017
Mentor (Part-Time),0602048,Pathway,0,Filled,"June 15, 2018 at 10:25 AM",81,27,,.5,,"August 18, 2017 at 09:46 AM",08.06.2018,
On-Campus Adjunct Faculty - Religious Education,0602043,Religious Education,0,Filled,"November 13, 2017 at 01:42 PM",6,7,Dependent on education and experience.,,No,"August 23, 2017 at 09:58 AM",30.09.2018,
Marketing & Communication Coordinator,0602045,Student Life Communications,0,Filled,"November 03, 2017 at 08:55 AM",30,14,General information available upon request.,1.00,,"August 24, 2017 at 02:52 PM",29.09.2017,October 2017
Seasonal Snow Removal (6 Positions),0602047,Grounds,0,Filled,"November 09, 2017 at 04:18 PM",28,13,,N/A,,"August 28, 2017 at 02:09 PM",23.09.2017,With first snowfall
Biology Faculty - Anatomy & Physiology - Anticipated for Fall 2018,0602050,Biology,0,Filled,"May 24, 2018 at 04:21 PM",18,3,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 09:57 AM",28.11.2017,Tentatively 8/22/2018
Animal Science Faculty - Anticipated for Fall 2018,0602051,Animal & Food Sciences,0,Filled,"June 18, 2018 at 01:59 PM",9,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 10:31 AM",22.01.2018,Tentatively 8/22/2018
Nursing Faculty - Anticipated for Fall 2018,0602052,Nursing,0,Filled,"October 08, 2018 at 01:59 PM",10,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 10:40 AM",28.11.2017,Tentatively 8/22/2018
Psychology Faculty - Anticipated for Fall 2018,0602058,Psychology,0,Filled,"May 17, 2018 at 11:29 AM",16,6,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 11:35 AM",28.11.2017,Tentatively 8/22/2018
Communication Faculty - Video and Film Production - Anticipated for Fall 2018,0602053,Communication,0,Filled,"May 14, 2018 at 04:23 PM",13,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 11:46 AM",28.11.2017,Tentatively 8/22/2018
Communication Faculty - Media Writing and Editing - Anticipated for Fall 2018,0602054,Communication,0,Filled,"May 17, 2018 at 11:33 AM",10,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 12:00 PM",28.11.2017,Tentatively 8/22/2018
Communication Faculty - Organizational Communication and Advocacy - Anticipated for Fall 2018,0602055,Communication,0,Filled,"May 17, 2018 at 11:32 AM",31,6,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 20, 2017 at 12:11 PM",28.11.2017,Tentatively 8/22/2018
Online Community Coordinator,0602093,Online Instruction,0,Filled,"November 27, 2017 at 09:44 AM",21,9,General Information available to applicants.,1.00,,"September 27, 2017 at 02:52 PM",01.11.2017,December 2017
Construction Management Faculty - Anticipated for Fall 2018,0602056,Design and Construction Management,0,Filled,"May 17, 2018 at 11:07 AM",9,2,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 27, 2017 at 03:12 PM",28.11.2017,Tentatively 8/22/2018
Music Faculty (Trumpet) - Anticipated for Fall 2018,0602057,Music,0,Filled,"May 17, 2018 at 11:10 AM",9,1,Will be discussed during the formal interview process and is based on education and experience.,1.0,Yes,"September 27, 2017 at 03:42 PM",28.11.2017,Tentatively 8/22/2018
Event Scheduling Specialist,0602060,Scheduling Office,0,Filled,"November 15, 2017 at 11:02 AM",25,2,General information available to applicants.,1.00,,"September 29, 2017 at 10:19 AM",19.10.2017,November 2017
Online Adjunct Faculty--B 250: Web Business Creation,0602063,Online Learning Administration,11,Closed,"December 14, 2018 at 06:00 PM",106,23,,,No,"October 02, 2017 at 05:00 PM",14.12.2018,
On-Campus Adjunct Faculty - History/Geography/Political Science (Interest Application),0602066,History/Geography/Poli Science,35,Closed,"October 01, 2018 at 03:00 PM",38,11,Dependent on education and experience.,,No,"October 04, 2017 at 12:08 PM",28.09.2018,
On-Campus Adjunct Faculty - Chinese (Interest Application),0602071,Languages & International Studies,2,Closed,"October 01, 2018 at 12:00 AM",2,0,Dependent on education and experience.,,No,"October 06, 2017 at 12:50 PM",30.09.2018,
On-Campus Adjunct Faculty - Russian (Interest Application),0602072,Languages & International Studies,2,Closed,"October 01, 2018 at 12:00 AM",2,5,Dependent on education and experience.,,No,"October 06, 2017 at 01:06 PM",30.09.2018,
On-Campus Adjunct Faculty - TESOL (Interest Application),0602074,Languages & International Studies,16,Closed,"October 01, 2018 at 12:00 AM",17,2,Dependent on education and experience.,,No,"October 06, 2017 at 01:42 PM",30.09.2018,
Information Technology Architect,0602076,Pathway,0,Filled,"January 04, 2018 at 04:43 PM",20,3,General information available to applicants.,1.00,,"October 11, 2017 at 08:55 AM",04.11.2017,December 2017 or January 2018
On-Campus Adjunct Faculty - Art (Interest Application),0602077,Art,10,Closed,"October 01, 2018 at 12:00 AM",10,3,Dependent on education and experience.,,No,"October 11, 2017 at 11:28 AM",04.10.2019,
On-Campus Adjunct Faculty - Biology (Interest Application),0602078,Biology,6,Closed,"October 01, 2018 at 12:00 AM",7,7,Dependent on education and experience.,,No,"October 11, 2017 at 11:42 AM",30.09.2018,
On-Campus Adjunct Faculty - Chemistry (Interest Application),0602079,Chemistry,6,Closed,"October 01, 2018 at 12:00 AM",7,1,Dependent on education and experience.,,No,"October 11, 2017 at 12:19 PM",30.09.2018,
