Official Title,Posting Number,Department,Active Applications,Workflow State,Last Status Update,All Submitted Applications,Incomplete Applications,Pay Rate,FTE,Accept References?,Created Date,Closing Date,Anticipated Start Date
Office Assistant I,,Online Instruction,0,Filled,"September 15, 2009 at 08:18 AM",9,1,Pay scale starts at $12.22/hr; employees should consult with HR for more specific information,1,,"January 27, 2014 at 06:16 PM",31.08.2009,2009-10-01
Petitions Specialist,0600148,Student Records & Registration,0,Filled,"September 11, 2009 at 03:57 PM",114,0,Pay scale begins at $12.22/hr,1,,"January 27, 2014 at 06:16 PM",19.08.2009,2009-09-15
Academic Materials Assistant,0600151,University Store,0,Filled,"September 30, 2009 at 01:57 PM",91,2,Pay scale begins at $12.22/hr; experience considered in offer,1,,"January 27, 2014 at 06:16 PM",15.09.2009,2009-10-16
Online Adjunct Faculty--The Developing World,0600101,Continuing Education,0,Filled,"April 20, 2009 at 10:04 AM",7,0,$750 per credit hour,,,"January 27, 2014 at 06:16 PM",16.03.2009,2009-04-20
University Security Director,0600056,University Security & Safety,0,Filled,"December 08, 2008 at 09:04 AM",31,0,"Pay scale begins at $64,000/yr",1,,"January 27, 2014 at 06:16 PM",12.11.2008,2008-01-01
Custodian,0600070,Custodial Services,0,Filled,"December 20, 2008 at 12:09 PM",21,0,Payscale begins at $11.34/hr,1.0,,"January 27, 2014 at 06:17 PM",01.12.2008,2008-12-16
Technology Support Specialist,0600064,Information Technology,0,Filled,"December 18, 2008 at 02:14 PM",27,0,"Pay scale starts at $38,270/yr minimum",1,No,"January 27, 2014 at 06:17 PM",18.11.2008,2008-12-01
Online Degrees Satellite Advisor,0600069,Online Instruction,0,Filled,"December 22, 2008 at 11:14 AM",40,1,$16.56/hr,.50,,"January 27, 2014 at 06:17 PM",01.12.2008,2008-12-16
Online Adjunct Faculty--Science (2 openings),0600093,Continuing Education,3,Filled,"April 20, 2009 at 10:05 AM",12,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
Online Adjunct Faculty--Science,0600079,Continuing Education,0,Filled,"February 10, 2009 at 03:57 PM",9,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",22.01.2009,
Online Adjunct Faculty--American Foundations,0600080,Continuing Education,0,Filled,"February 10, 2009 at 04:41 PM",5,0,Paid $750 per course credit hour,,,"January 27, 2014 at 06:17 PM",22.01.2009,
Office Assistant I,,Dance,0,Filled,"February 08, 2010 at 10:00 AM",1,0,Pay scale starts at $12.22/hr; employees should consult with HR for more specific information,.30,,"January 27, 2014 at 06:17 PM",25.09.2009,2009-10-16
Accounts Payable Specialist,,Accounting Services,0,Filled,"October 14, 2009 at 09:50 AM",7,0,Pay scale begins at $13.54/hr; employees should consult with HR for more specific information,1.0,,"January 27, 2014 at 06:17 PM",04.10.2009,2009-11-01
Online Learning Manager,0600086,Continuing Education,0,Filled,"March 20, 2009 at 11:27 AM",76,1,"Minimum salary of $49,800/yr",1,,"January 27, 2014 at 06:17 PM",03.02.2009,2009-04-01
Housing Complex Assistant,,Housing & Student Living,0,Filled,"October 22, 2009 at 11:33 AM",28,0,Stipend of $675/month and rent reduced to $385/month,.50,No,"January 27, 2014 at 06:17 PM",06.10.2009,2009-10-16
"Online Adjunct Faculty--Statistics (3 openings: Business, Biology, Social Science)",0600098,Continuing Education,0,Filled,"April 20, 2009 at 10:06 AM",5,0,$750 per credit hour,,,"January 27, 2014 at 06:17 PM",16.03.2009,2009-04-20
